iter	Passed	Remaining
940	51637	3237
941	51685	3182
942	51741	3127
943	51803	3073
944	51852	3017
945	51907	2962
946	51962	2908
947	52014	2853
948	52070	2798
949	52122	2743
950	52185	2688
951	52242	2634
952	52302	2579
953	52351	2524
954	52411	2469
955	52469	2414
956	52526	2360
957	52579	2305
958	52636	2250
959	52690	2195
960	52742	2140
961	52802	2085
962	52856	2030
963	52916	1976
964	52972	1921
965	53022	1866
966	53082	1811
967	53130	1756
968	53189	1701
969	53240	1646
970	53298	1591
971	53350	1536
972	53405	1481
973	53456	1426
974	53509	1372
975	53562	1317
976	53614	1262
977	53671	1207
978	53723	1152
979	53780	1097
980	53832	1042
981	53885	987
982	53941	932
983	53994	877
984	54046	823
985	54097	768
986	54153	713
987	54210	658
988	54264	603
989	54320	548
990	54376	493
991	54434	438
992	54484	384
993	54544	329
994	54599	274
995	54658	219
996	54714	164
997	54763	109
998	54817	54
999	54872	0
